ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
03-01-2014,1440.897851,-1164.799311,4359.081812,1440.897851,1440.897851,96.88410027,96.88410027,96.88410027,419.7405272,419.7405272,419.7405272,-322.8564269,-322.8564269,-322.8564269,0,0,0,1537.781951
04-01-2014,1441.039716,-1682.403043,3798.27536,1441.039716,1441.039716,-397.8355718,-397.8355718,-397.8355718,21.96802764,21.96802764,21.96802764,-419.8035994,-419.8035994,-419.8035994,0,0,0,1043.204144
05-01-2014,1441.181581,-1889.268676,3764.147143,1441.181581,1441.181581,-306.4408398,-306.4408398,-306.4408398,203.7542451,203.7542451,203.7542451,-510.195085,-510.195085,-510.195085,0,0,0,1134.740741
06-01-2014,1441.323447,-1490.634151,4283.442456,1441.323447,1441.323447,-181.2719664,-181.2719664,-181.2719664,411.5590087,411.5590087,411.5590087,-592.8309752,-592.8309752,-592.8309752,0,0,0,1260.05148
07-01-2014,1441.465312,-2140.964556,3259.422907,1441.465312,1441.465312,-837.9493062,-837.9493062,-837.9493062,-171.2908683,-171.2908683,-171.2908683,-666.6584379,-666.6584379,-666.6584379,0,0,0,603.5160058
09-01-2014,1441.749043,-1723.407115,3647.450643,1441.749043,1441.749043,-628.8203829,-628.8203829,-628.8203829,155.7413792,155.7413792,155.7413792,-784.5617621,-784.5617621,-784.5617621,0,0,0,812.9286598
10-01-2014,1441.890908,-1756.639418,3698.593226,1441.890908,1441.890908,-407.7377655,-407.7377655,-407.7377655,419.7405272,419.7405272,419.7405272,-827.4782926,-827.4782926,-827.4782926,0,0,0,1034.153143
11-01-2014,1442.032773,-2082.7336,3508.08444,1442.032773,1442.032773,-837.3301417,-837.3301417,-837.3301417,21.96802764,21.96802764,21.96802764,-859.2981694,-859.2981694,-859.2981694,0,0,0,604.7026318
13-01-2014,1442.316504,-1844.768228,3680.443222,1442.316504,1442.316504,-478.2597132,-478.2597132,-478.2597132,411.5590087,411.5590087,411.5590087,-889.8187219,-889.8187219,-889.8187219,0,0,0,964.056791
14-01-2014,1442.45837,-2462.419818,3122.003948,1442.45837,1442.45837,-1060.479883,-1060.479883,-1060.479883,-171.2908683,-171.2908683,-171.2908683,-889.1890146,-889.1890146,-889.1890146,0,0,0,381.9784868
15-01-2014,1442.600235,-3275.29035,2209.600153,1442.600235,1442.600235,-1920.262336,-1920.262336,-1920.262336,-1041.47232,-1041.47232,-1041.47232,-878.7900164,-878.7900164,-878.7900164,0,0,0,-477.662101
16-01-2014,1442.7421,-1917.284225,3484.898146,1442.7421,1442.7421,-703.7631925,-703.7631925,-703.7631925,155.7413792,155.7413792,155.7413792,-859.5045717,-859.5045717,-859.5045717,0,0,0,738.9789079
18-01-2014,1443.025831,-2246.216498,3198.632851,1443.025831,1443.025831,-776.7633878,-776.7633878,-776.7633878,21.96802764,21.96802764,21.96802764,-798.7314154,-798.7314154,-798.7314154,0,0,0,666.2624433
19-01-2014,1443.167696,-1955.158013,3450.35059,1443.167696,1443.167696,-556.1051819,-556.1051819,-556.1051819,203.7542451,203.7542451,203.7542451,-759.859427,-759.859427,-759.859427,0,0,0,887.0625146
20-01-2014,1443.309562,-1427.323735,3877.413065,1443.309562,1443.309562,-305.7138869,-305.7138869,-305.7138869,411.5590087,411.5590087,411.5590087,-717.2728957,-717.2728957,-717.2728957,0,0,0,1137.595675
21-01-2014,1443.451427,-2259.195389,3314.292879,1443.451427,1443.451427,-843.8182874,-843.8182874,-843.8182874,-171.2908683,-171.2908683,-171.2908683,-672.5274191,-672.5274191,-672.5274191,0,0,0,599.6331398
23-01-2014,1443.735158,-1608.342505,3814.697418,1443.735158,1443.735158,-427.1819534,-427.1819534,-427.1819534,155.7413792,155.7413792,155.7413792,-582.9233326,-582.9233326,-582.9233326,0,0,0,1016.553205
26-01-2014,1444.160754,-1515.130692,3877.779142,1444.160754,1444.160754,-267.507506,-267.507506,-267.507506,203.7542451,203.7542451,203.7542451,-471.2617511,-471.2617511,-471.2617511,0,0,0,1176.653248
27-01-2014,1444.302619,-1321.00787,4331.203367,1444.302619,1444.302619,-34.05448319,-34.05448319,-34.05448319,411.5590087,411.5590087,411.5590087,-445.6134919,-445.6134919,-445.6134919,0,0,0,1410.248136
28-01-2014,1444.444485,-1774.593939,3579.177054,1444.444485,1444.444485,-598.9149668,-598.9149668,-598.9149668,-171.2908683,-171.2908683,-171.2908683,-427.6240985,-427.6240985,-427.6240985,0,0,0,845.5295181
30-01-2014,1444.728216,-1810.462754,3661.193499,1444.728216,1444.728216,-262.0029198,-262.0029198,-262.0029198,155.7413792,155.7413792,155.7413792,-417.744299,-417.744299,-417.744299,0,0,0,1182.725296
31-01-2014,1444.870081,-1202.646763,4147.171986,1444.870081,1444.870081,-7.098971113,-7.098971113,-7.098971113,419.7405272,419.7405272,419.7405272,-426.8394983,-426.8394983,-426.8394983,0,0,0,1437.77111
01-02-2014,1445.011946,-1818.81998,3714.206761,1445.011946,1445.011946,-423.5695623,-423.5695623,-423.5695623,21.96802764,21.96802764,21.96802764,-445.5375899,-445.5375899,-445.5375899,0,0,0,1021.442384
02-02-2014,1445.153812,-1654.403737,3853.247282,1445.153812,1445.153812,-269.9504476,-269.9504476,-269.9504476,203.7542451,203.7542451,203.7542451,-473.7046927,-473.7046927,-473.7046927,0,0,0,1175.203364
03-02-2014,1445.295677,-1339.198457,4230.377904,1445.295677,1445.295677,-99.39324832,-99.39324832,-99.39324832,411.5590087,411.5590087,411.5590087,-510.9522571,-510.9522571,-510.9522571,0,0,0,1345.902429
04-02-2014,1445.437542,-2031.490944,3319.146639,1445.437542,1445.437542,-727.9350922,-727.9350922,-727.9350922,-171.2908683,-171.2908683,-171.2908683,-556.6442239,-556.6442239,-556.6442239,0,0,0,717.5024503
06-02-2014,1445.721273,-1630.883539,3771.243204,1445.721273,1445.721273,-513.9222202,-513.9222202,-513.9222202,155.7413792,155.7413792,155.7413792,-669.6635994,-669.6635994,-669.6635994,0,0,0,931.799053
07-02-2014,1445.863139,-1859.63482,3696.738923,1445.863139,1445.863139,-314.8861122,-314.8861122,-314.8861122,419.7405272,419.7405272,419.7405272,-734.6266394,-734.6266394,-734.6266394,0,0,0,1130.977026
08-02-2014,1446.005004,-2223.53888,3120.147284,1446.005004,1446.005004,-781.3897748,-781.3897748,-781.3897748,21.96802764,21.96802764,21.96802764,-803.3578024,-803.3578024,-803.3578024,0,0,0,664.6152291
11-02-2014,1446.4306,-2555.223128,2816.44356,1446.4306,1446.4306,-1187.293066,-1187.293066,-1187.293066,-171.2908683,-171.2908683,-171.2908683,-1016.002198,-1016.002198,-1016.002198,0,0,0,259.1375337
12-02-2014,1446.572465,-3444.929434,2109.308022,1446.572465,1446.572465,-2124.800061,-2124.800061,-2124.800061,-1041.47232,-1041.47232,-1041.47232,-1083.327741,-1083.327741,-1083.327741,0,0,0,-678.2275955
14-02-2014,1446.856196,-2061.965233,3328.427969,1446.856196,1446.856196,-782.6246168,-782.6246168,-782.6246168,419.7405272,419.7405272,419.7405272,-1202.365144,-1202.365144,-1202.365144,0,0,0,664.2315793
